experiment,epoch,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,lr,time_sec,include_proj_layers,weight_decay
ft0_lr002,108,0.07292276442050934,97.64,99.94,0.7527107388973237,82.55,98.7625,0.0005735850890782167,20.14244771003723,0,0.0
ft0_lr002,109,0.06914034309387207,97.62,100.0,0.7613427019119263,82.375,98.8,0.0004894348370484647,18.28764319419861,0,0.0
ft0_lr002,110,0.0762498551607132,97.46,99.94,0.7554379632472992,82.4625,98.925,0.00041180265131807056,16.582130908966064,0,0.0
ft0_lr002,111,0.06529073593616486,97.9,99.98,0.7475243372917175,82.475,98.7875,0.0003407417371093168,20.447722911834717,0,0.0
ft0_lr002,112,0.06829066233634949,97.62,99.96,0.7449621138572693,82.6,98.9125,0.0002763007960232344,18.325273752212524,0,0.0
ft0_lr002,113,0.07738832800388336,97.48,99.94,0.7397812142372131,82.7,98.8375,0.00021852399266194308,16.23995089530945,0,0.0
ft0_lr002,114,0.06420248377323151,98.02,99.98,0.7417718448638916,82.4625,98.85,0.0001674509243604549,23.80197501182556,0,0.0
ft0_lr002,115,0.058887416672706604,97.96,100.0,0.735617493391037,82.4375,98.8625,0.00012311659404862338,27.927984476089478,0,0.0
ft0_lr002,116,0.0743565693616867,97.62,99.98,0.756147370815277,82.525,98.825,8.555138626189616e-05,28.134602785110474,0,0.0
ft0_lr002,117,0.0699200210094452,97.9,99.98,0.7493728466033935,82.6,98.9125,5.4781046317265984e-05,28.050750017166138,0,0.0
ft0_lr002,118,0.07213741776943207,97.66,99.98,0.7456369647979736,82.475,98.825,3.082666266872035e-05,27.357747077941895,0,0.0
ft0_lr002,119,0.05883072679042816,98.04,99.94,0.7503394184112548,82.525,98.85,1.3704652454261664e-05,22.1120548248291,0,0.0
ft0_lr002,120,0.07088974368572235,97.66,99.92,0.76257004404068,82.35,98.875,3.4267502444274e-06,24.890177249908447,0,0.0
